"Hạng mục","Số dư còn","Tổng nhận","Chi phí chạy ADS ","Phí quản lý","Tổng chi phí","DATA","","","","","","","","","","","","CHI PHÍ SỐ LIỆU","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1.527.345 đ","79.000.000 đ","73.783.481 đ","3.689.174 đ","77.472.655 đ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","170","","","89","","","34","","","352.097.000 đ","51","683","113.430 đ","455.722 đ","24,89%","870.479 đ","52,35%","2.278.608 đ","38,20%","22,00%","","","","","","","","","","","","","","","","","","","","","",""
"","0 đ","58.042.677 đ","55.278.740 đ","2.763.937 đ","58.042.677 đ","122","","","74","","","26","","","146.849.000 đ","23","373","155.610 đ","475.760 đ","32,71%","784.361 đ","60,66%","2.232.411 đ","35,14%","39,53%","","","","","","","","","","","","","","","","","","","","","",""
"26/02/2026","","5.000.000 đ","1.080.083 đ","54.004 đ","1.134.088 đ","5","0","0","4","0","0","0","0","0","0 đ","0","21","54.004 đ","226.818 đ","23,81%","283.522 đ","80,00%","","0,00%","0,00%","","","","","","","","","","","","","","","","","","","","","",""
"27/02/2026","","","1.460.685 đ","73.034 đ","1.533.719 đ","2","1","0","1","3","0","0","0","0","0 đ","0","5","306.744 đ","511.240 đ","60,00%","383.430 đ","133,33%","","0,00%","0,00%","","","","","","","","","","","","","","","","","","","","","",""
"28/02/2026","","","1.128.805 đ","56.440 đ","1.185.245 đ","4","2","0","1","3","0","0","0","0","0 đ","0","21","56.440 đ","197.541 đ","28,57%","296.311 đ","66,67%","","0,00%","0,00%","","","","","","","","","","","","","","","","","","","","","",""
"01/03/2026","","","2.232.248 đ","111.612 đ","2.343.860 đ","1","2","0","1","0","0","3","0","0","3.850.000 đ","0","22","106.539 đ","781.287 đ","13,64%","2.343.860 đ","33,33%","781.287 đ","300,00%","164,26%","","","","","","","","","","","","","","","","","","","","","",""
"02/03/2026","","5.000.000 đ","1.676.421 đ","83.821 đ","1.760.242 đ","2","5","0","1","5","0","1","0","0","1.050.000 đ","1","13","135.403 đ","251.463 đ","53,85%","293.374 đ","85,71%","1.760.242 đ","16,67%","59,65%","","","","","","","","","","","","","","","","","","","","","",""
"03/03/2026","","","1.988.022 đ","99.401 đ","2.087.423 đ","2","5","0","1","3","0","0","0","0","0 đ","3","18","115.968 đ","298.203 đ","38,89%","521.856 đ","57,14%","","0,00%","0,00%","","","","","","","","","","","","","","","","","","","","","",""
"04/03/2026","","","2.680.428 đ","134.021 đ","2.814.450 đ","2","3","0","1","2","0","0","0","0","0 đ","1","14","201.032 đ","562.890 đ","35,71%","938.150 đ","60,00%","","0,00%","0,00%","","","","","","","","","","","","","","","","","","","","","",""
"05/03/2026","","7.000.000 đ","2.087.627 đ","104.381 đ","2.192.009 đ","2","1","0","0","2","0","1","0","0","1.050.000 đ","1","11","199.274 đ","730.670 đ","27,27%","1.096.004 đ","66,67%","2.192.009 đ","50,00%","47,90%","","","","","","","","","","","","","","","","","","","","","",""
"06/03/2026","","","1.541.302 đ","77.065 đ","1.618.368 đ","3","4","0","2","3","0","0","3","0","16.100.000 đ","0","10","161.837 đ","231.195 đ","70,00%","323.674 đ","71,43%","","0,00%","994,83%","","","","","","","","","","","","","","","","","","","","","",""
"07/03/2026","","5.000.000 đ","1.678.477 đ","83.924 đ","1.762.401 đ","1","1","0","1","1","0","0","1","0","5.000.000 đ","0","14","125.886 đ","881.200 đ","14,29%","881.200 đ","100,00%","","0,00%","283,70%","","","","","","","","","","","","","","","","","","","","","",""
